ModulusName,Modulus,Factor1,Factor2,description
test80,112582235914085774126011,106870189339,1053448455649,null
test100,145915931855910945160782281959,672462749346893,216987382568963,null
test120,64449954219920170833981039850620451,170197735325541239,378676920093238709,null
test140,86351932488767334328889250389692299765137,843305634851306564741,102396958967306188957,This was the largest item I ran Pollard Rho for. I left it running on a school computer overnight so I do not actually know how long it took. It was between 5 and 18 hours.
test160,127419400578115611631309060577326258138516656443,,,I had Brent's running on this and others multiple days but never finished
test180,68281729378532720987585062025459160694584448980260621
test200,378704518375826247740315811444944028258267022502325210010357
Date,235331519720402390809844310983,347228690301803,677742151767061,null
Lime,98552959246363562499989451840958311847,1660862642900235959,59338416495579762833,null
Papaya,1073,37,29,null
Toddington,22872553058869836241462183,29,788708726167925387636627,null
Cirencester,48369829554779,8135417,5945587,null
Tewkesbury,1394440552309348829673745481251,1669994342690627,834997171345313,null
Wells,12235050130819173411969075806102279,142999577614828423,85560043846943873,null
Chedworth,13173649296625891636159389244813057007482013077,,,null
Oxford,366003351746752288751370928302352781,708675713653676551,516460977419094731,null
